fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-06-30,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,40.00,42.00,Mil,May 2026
2026-06-30,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,17.00,2.00,Mil,May 2026
2026-06-30,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,67.00,63.00,Mil,May 2026
2026-06-30,Reporte ADP De Empleo,122.00,105.00,Mil,May 2026
2026-06-30,Cambio de Empleo ADP (ADP) Semanal,30.75,26.50,Mil,Jun 2026
2026-06-30,Recortes de empleo Challenger,97006.00,83387.00,Personas,May 2026
2026-06-30,Peticiones extendidas de desempleo,1821.00,1800.00,Mil,Jun 2026
2026-06-30,Peticiones por desempleo,215.00,227.00,Mil,Jun 2026
2026-06-30,Jolts Vacantes de Empleo,7618.00,6887.00,Mil,Apr 2026
2026-06-30,Nóminas no agrícolas,172.00,179.00,Mil,May 2026
2026-06-30,Tasa de Desempleo,4.30,4.30,Por Ciento,May 2026
