fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-06-08,Reporte ADP De Empleo,37.00,60.00,Mil,May 2025
2025-06-08,Recortes de empleo Challenger,93816.00,105441.00,Personas,May 2025
2025-06-08,Peticiones extendidas de desempleo,1904.00,1907.00,Mil,May 2025
2025-06-08,Peticiones por desempleo,247.00,239.00,Mil,May 2025
2025-06-08,Jolts Vacantes de Empleo,7391.00,7200.00,Mil,Apr 2025
2025-06-08,Nóminas no agrícolas,139.00,147.00,Mil,May 2025
2025-06-08,Tasa de desempleo,4.20,4.20,Por Ciento,May 2025
