fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-11-10,Reporte ADP De Empleo,42.00,-29.00,Mil,Oct 2025
2025-11-10,Recortes de empleo Challenger,153074.00,54064.00,Personas,Oct 2025
2025-11-10,Peticiones extendidas de desempleo,1926.00,1928.00,Mil,Sep 2025
2025-11-10,Peticiones por desempleo,218.00,232.00,Mil,Sep 2025
2025-11-10,Jolts Vacantes de Empleo,7227.00,7208.00,Mil,Aug 2025
2025-11-10,Nóminas no agrícolas,22.00,79.00,Mil,Aug 2025
2025-11-10,Tasa de Desempleo,4.30,4.20,Por Ciento,Aug 2025
