fecha_consulta,Moneda,Compra,Venta
2026-07-13,Dólar de N.A.,3.388,3.397
2026-07-13,Dólar Canadiense,2.261,
2026-07-13,Peso Chileno,0.003,
2026-07-13,Libra Esterlina,4.411,4.821
2026-07-13,Yen Japonés,0.021,0.025
2026-07-13,Peso Mexicano,0.193,0.194
2026-07-13,Franco Suizo,,4.548
2026-07-13,Euro,3.746,4.014
