fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-06-28,Reporte ADP De Empleo,37.00,60.00,Mil,May 2025
2025-06-28,Recortes de empleo Challenger,93816.00,105441.00,Personas,May 2025
2025-06-28,Peticiones extendidas de desempleo,1974.00,1937.00,Mil,Jun 2025
2025-06-28,Peticiones por desempleo,236.00,246.00,Mil,Jun 2025
2025-06-28,Jolts Vacantes de Empleo,7391.00,7200.00,Mil,Apr 2025
2025-06-28,Nóminas no agrícolas,139.00,147.00,Mil,May 2025
2025-06-28,Tasa de desempleo,4.20,4.20,Por Ciento,May 2025
