Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,120.72,120.64,points,Aug 2026
Core Consumer Prices,119.02,118.73,points,Jul 2026
Core Inflation Rate,2.58,2.52,percent,Jul 2026
CPI Housing Utilities,105.27,105.37,points,Jul 2026
CPI Transportation,127.87,127.62,points,Jul 2026
Inflation Rate YoY,4.44,4.07,percent,Aug 2026
Inflation Rate MoM,0.07,0.29,percent,Aug 2026
Producer Prices,131.2,130.5,points,Jul 2026
