fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-09-19,Reporte ADP De Empleo,54.00,106.00,Mil,Aug 2025
2025-09-19,Recortes de empleo Challenger,85979.00,62075.00,Personas,Aug 2025
2025-09-19,Peticiones extendidas de desempleo,1920.00,1927.00,Mil,Sep 2025
2025-09-19,Peticiones por desempleo,231.00,264.00,Mil,Sep 2025
2025-09-19,Jolts Vacantes de Empleo,7181.00,7357.00,Mil,Jul 2025
2025-09-19,Nóminas no agrícolas,22.00,79.00,Mil,Aug 2025
2025-09-19,Tasa de desempleo,4.30,4.20,Por Ciento,Aug 2025
