fecha_consulta,Moneda,Compra,Venta
2026-08-02,Dólar de N.A.,3.391,3.4
2026-08-02,Dólar Canadiense,2.242,2.513
2026-08-02,Libra Esterlina,4.529,4.659
2026-08-02,Yen Japonés,,0.022
2026-08-02,Peso Mexicano,0.195,0.196
2026-08-02,Franco Suizo,3.905,4.388
2026-08-02,Euro,3.774,4.021
