fecha,tasa
18-09-2025,4.25 
18-12-2024,4.50 
07-11-2024,4.75 
19-09-2024,5.00 
26-07-2023,5.50 
03-05-2023,5.25 
22-03-2023,5.00 
01-02-2023,4.75 
14-12-2022,4.50 
02-11-2022,4.00 
