fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-12-07,ADP Employment Change – Large Firms - United States,39.00,73.00,Mil,Nov 2025
2025-12-07,ADP Employment Change – Mid-Sized Firms - United States,51.00,-25.00,Mil,Nov 2025
2025-12-07,ADP Employment Change – Small Firms - United States,-120.00,-24.00,Mil,Nov 2025
2025-12-07,Reporte ADP De Empleo,-32.00,47.00,Mil,Nov 2025
2025-12-07,ADP Employment Change Weekly,-13.50,-2.50,Mil,Nov 2025
2025-12-07,Recortes de empleo Challenger,71321.00,153074.00,Personas,Nov 2025
2025-12-07,Peticiones extendidas de desempleo,1939.00,1943.00,Mil,Nov 2025
2025-12-07,Peticiones por desempleo,191.00,218.00,Mil,Nov 2025
2025-12-07,Jolts Vacantes de Empleo,7227.00,7208.00,Mil,Aug 2025
2025-12-07,Nóminas no agrícolas,119.00,-4.00,Mil,Sep 2025
2025-12-07,Tasa de Desempleo,4.40,4.30,Por Ciento,Sep 2025
