fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-04-02,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,10.00,-19.00,Mil,Feb 2026
2026-04-02,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,-7.00,29.00,Mil,Feb 2026
2026-04-02,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,60.00,1.00,Mil,Feb 2026
2026-04-02,Reporte ADP De Empleo,62.00,66.00,Mil,Mar 2026
2026-04-02,Cambio de Empleo ADP (ADP) Semanal,10.00,9.00,Mil,Mar 2026
2026-04-02,Recortes de empleo Challenger,60620.00,48307.00,Personas,Mar 2026
2026-04-02,Peticiones extendidas de desempleo,1841.00,1816.00,Mil,Mar 2026
2026-04-02,Peticiones por desempleo,202.00,211.00,Mil,Mar 2026
2026-04-02,Jolts Vacantes de Empleo,6882.00,7240.00,Mil,Feb 2026
2026-04-02,Nóminas no agrícolas,-92.00,126.00,Mil,Feb 2026
2026-04-02,Tasa de Desempleo,4.40,4.30,Por Ciento,Feb 2026
