Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast
2025-12-01,07:15 AM,Inflation Rate YoY,Nov,1.37%,1.35%,,1.46%
2026-01-01,02:00 PM,Inflation Rate YoY,Dec,1.51%,1.37%,,1.4%
2026-02-02,03:00 PM,Inflation Rate YoY,Jan,,1.51%,,1.6%
