fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-10-23,Reporte ADP De Empleo,-32.00,-3.00,Mil,Sep 2025
2025-10-23,Recortes de empleo Challenger,54064.00,85979.00,Personas,Sep 2025
2025-10-23,Peticiones extendidas de desempleo,1926.00,1928.00,Mil,Sep 2025
2025-10-23,Peticiones por desempleo,218.00,232.00,Mil,Sep 2025
2025-10-23,Jolts Vacantes de Empleo,7227.00,7208.00,Mil,Aug 2025
2025-10-23,Nóminas no agrícolas,22.00,79.00,Mil,Aug 2025
2025-10-23,Tasa de desempleo,4.30,4.20,Por Ciento,Aug 2025
