Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.89,115.61,points,Dec 2025
Core Consumer Prices,116.22,116.07,points,Nov 2025
Core Inflation Rate,2.12,2.12,percent,Nov 2025
CPI Housing Utilities,101.97,101.93,points,Dec 2025
CPI Transportation,115.17,113.56,points,Dec 2025
Inflation Rate YoY,1.51,1.37,percent,Dec 2025
Inflation Rate MoM,0.24,0.11,percent,Dec 2025
Producer Prices,125.99,126.09,points,Dec 2025
