Fecha,Producto bruto interno (millones US$) - PBI (millones US$),fecha_carga
T123,61671,2025-11-25
T223,68021,2025-11-25
T323,70248,2025-11-25
T423,72555,2025-11-25
T124,66444,2025-11-25
T224,73455,2025-11-25
T324,75900,2025-11-25
T424,80100,2025-11-25
T125,74261,2025-11-25
T225,81094,2025-11-25
T325,86716,2025-11-25
T194,9473,2025-11-26
T294,10607,2025-11-26
T394,10668,2025-11-26
T494,11972,2025-11-26
T195,12096,2025-11-26
T295,13191,2025-11-26
T395,13040,2025-11-26
T495,13080,2025-11-26
T196,12761,2025-11-26
T296,13973,2025-11-26
T396,13259,2025-11-26
T496,13419,2025-11-26
T197,12964,2025-11-26
T297,14645,2025-11-26
T397,14303,2025-11-26
T497,14391,2025-11-26
T198,13660,2025-11-26
T298,14407,2025-11-26
T398,13381,2025-11-26
T498,12584,2025-11-26
T199,11570,2025-11-26
T299,12667,2025-11-26
T399,11934,2025-11-26
T499,12554,2025-11-26
T100,12431,2025-11-26
T200,13242,2025-11-26
T300,12428,2025-11-26
T400,12331,2025-11-26
T101,11854,2025-11-26
T201,13160,2025-11-26
T301,12743,2025-11-26
T401,13292,2025-11-26
T102,12765,2025-11-26
T202,14499,2025-11-26
T302,12987,2025-11-26
T402,13738,2025-11-26
T103,13787,2025-11-26
T203,15496,2025-11-26
T303,14335,2025-11-26
T403,14928,2025-11-26
T104,15233,2025-11-26
T204,17316,2025-11-26
T304,16045,2025-11-26
T404,17561,2025-11-26
T105,17283,2025-11-26
T205,19655,2025-11-26
T305,18248,2025-11-26
T405,19055,2025-11-26
T106,19607,2025-11-26
T206,22585,2025-11-26
T306,22112,2025-11-26
T406,23263,2025-11-26
T107,23004,2025-11-26
T207,25423,2025-11-26
T307,25613,2025-11-26
T407,28347,2025-11-26
T108,28393,2025-11-26
T208,32426,2025-11-26
T308,31074,2025-11-26
T408,29231,2025-11-26
T109,26497,2025-11-26
T209,30251,2025-11-26
T309,31319,2025-11-26
T409,34627,2025-11-26
T110,33322,2025-11-26
T210,37346,2025-11-26
T310,38148,2025-11-26
T410,40567,2025-11-26
T111,39062,2025-11-26
T211,42338,2025-11-26
T311,43731,2025-11-26
T411,45679,2025-11-26
T112,44197,2025-11-26
T212,47455,2025-11-26
T312,49457,2025-11-26
T412,52127,2025-11-26
T113,49240,2025-11-26
T213,51359,2025-11-26
T313,50034,2025-11-26
T413,52454,2025-11-26
T114,48217,2025-11-26
T214,51385,2025-11-26
T314,52176,2025-11-26
