Fecha,Producto bruto interno (millones US$) - PBI (millones US$),fecha_carga
T204,17316,2025-12-02
T304,16045,2025-12-02
T404,17561,2025-12-02
T105,17283,2025-12-02
T205,19655,2025-12-02
T305,18248,2025-12-02
T405,19055,2025-12-02
T106,19607,2025-12-02
T206,22585,2025-12-02
T306,22112,2025-12-02
T406,23263,2025-12-02
T107,23004,2025-12-02
T207,25423,2025-12-02
T307,25613,2025-12-02
T407,28347,2025-12-02
T108,28393,2025-12-02
T208,32426,2025-12-02
T308,31074,2025-12-02
T408,29231,2025-12-02
T109,26497,2025-12-02
T209,30251,2025-12-02
T309,31319,2025-12-02
T409,34627,2025-12-02
T110,33322,2025-12-02
T210,37346,2025-12-02
T310,38148,2025-12-02
T410,40567,2025-12-02
T111,39062,2025-12-02
T211,42338,2025-12-02
T311,43731,2025-12-02
T411,45679,2025-12-02
T112,44197,2025-12-02
T212,47455,2025-12-02
T312,49457,2025-12-02
T412,52127,2025-12-02
T113,49240,2025-12-02
T213,51359,2025-12-02
T313,50034,2025-12-02
T413,52454,2025-12-02
T114,48217,2025-12-02
T214,51385,2025-12-02
T314,52176,2025-12-02
T414,52455,2025-12-02
T115,46546,2025-12-02
T215,49124,2025-12-02
T315,48654,2025-12-02
T415,50092,2025-12-02
T116,45249,2025-12-02
T216,50066,2025-12-02
T316,51108,2025-12-02
T416,52793,2025-12-02
T117,50525,2025-12-02
T217,54231,2025-12-02
T317,56267,2025-12-02
T417,58711,2025-12-02
T118,54393,2025-12-02
T218,58686,2025-12-02
T318,57255,2025-12-02
T418,59553,2025-12-02
T119,54629,2025-12-02
T219,59592,2025-12-02
T319,59985,2025-12-02
T419,62311,2025-12-02
T120,53020,2025-12-02
T220,41524,2025-12-02
T320,53987,2025-12-02
T420,61192,2025-12-02
T121,55168,2025-12-02
T221,57264,2025-12-02
T321,56770,2025-12-02
T421,60695,2025-12-02
T122,57566,2025-12-02
T222,62187,2025-12-02
T322,62047,2025-12-02
T422,66746,2025-12-02
T123,61671,2025-12-02
T223,68021,2025-12-02
T323,70248,2025-12-02
T423,72555,2025-12-02
T124,66444,2025-12-02
T224,73455,2025-12-02
T324,75900,2025-12-02
T424,80100,2025-12-02
T125,74261,2025-12-02
T225,81094,2025-12-02
T325,86716,2025-12-02
T194,9473,2025-12-03
T294,10607,2025-12-03
T394,10668,2025-12-03
T494,11972,2025-12-03
T195,12096,2025-12-03
T295,13191,2025-12-03
T395,13040,2025-12-03
T495,13080,2025-12-03
T196,12761,2025-12-03
T296,13973,2025-12-03
T396,13259,2025-12-03
T496,13419,2025-12-03
T197,12964,2025-12-03
T297,14645,2025-12-03
T397,14303,2025-12-03
T497,14391,2025-12-03
T198,13660,2025-12-03
T298,14407,2025-12-03
T398,13381,2025-12-03
T498,12584,2025-12-03
T199,11570,2025-12-03
T299,12667,2025-12-03
T399,11934,2025-12-03
T499,12554,2025-12-03
T100,12431,2025-12-03
T200,13242,2025-12-03
T300,12428,2025-12-03
T400,12331,2025-12-03
T101,11854,2025-12-03
T201,13160,2025-12-03
T301,12743,2025-12-03
T401,13292,2025-12-03
T102,12765,2025-12-03
T202,14499,2025-12-03
T302,12987,2025-12-03
T402,13738,2025-12-03
T103,13787,2025-12-03
T203,15496,2025-12-03
T303,14335,2025-12-03
T403,14928,2025-12-03
T104,15233,2025-12-03
T204,17316,2025-12-03
T304,16045,2025-12-03
T404,17561,2025-12-03
T105,17283,2025-12-03
T205,19655,2025-12-03
T305,18248,2025-12-03
T405,19055,2025-12-03
T106,19607,2025-12-03
T206,22585,2025-12-03
T306,22112,2025-12-03
T406,23263,2025-12-03
T107,23004,2025-12-03
T207,25423,2025-12-03
T307,25613,2025-12-03
T407,28347,2025-12-03
T108,28393,2025-12-03
T208,32426,2025-12-03
T308,31074,2025-12-03
T408,29231,2025-12-03
T109,26497,2025-12-03
T209,30251,2025-12-03
T309,31319,2025-12-03
T409,34627,2025-12-03
T110,33322,2025-12-03
T210,37346,2025-12-03
T310,38148,2025-12-03
T410,40567,2025-12-03
T111,39062,2025-12-03
T211,42338,2025-12-03
T311,43731,2025-12-03
T411,45679,2025-12-03
T112,44197,2025-12-03
T212,47455,2025-12-03
T312,49457,2025-12-03
T412,52127,2025-12-03
T113,49240,2025-12-03
T213,51359,2025-12-03
T313,50034,2025-12-03
T413,52454,2025-12-03
T114,48217,2025-12-03
T214,51385,2025-12-03
T314,52176,2025-12-03
T414,52455,2025-12-03
T115,46546,2025-12-03
T215,49124,2025-12-03
T315,48654,2025-12-03
T415,50092,2025-12-03
T116,45249,2025-12-03
T216,50066,2025-12-03
T316,51108,2025-12-03
T416,52793,2025-12-03
T117,50525,2025-12-03
T217,54231,2025-12-03
T317,56267,2025-12-03
T417,58711,2025-12-03
T118,54393,2025-12-03
T218,58686,2025-12-03
T318,57255,2025-12-03
T418,59553,2025-12-03
T119,54629,2025-12-03
T219,59592,2025-12-03
T319,59985,2025-12-03
T419,62311,2025-12-03
T120,53020,2025-12-03
T220,41524,2025-12-03
T320,53987,2025-12-03
T420,61192,2025-12-03
T121,55168,2025-12-03
T221,57264,2025-12-03
T321,56770,2025-12-03
T421,60695,2025-12-03
T122,57566,2025-12-03
T222,62187,2025-12-03
T322,62047,2025-12-03
T422,66746,2025-12-03
T123,61671,2025-12-03
T223,68021,2025-12-03
T323,70248,2025-12-03
T423,72555,2025-12-03
T124,66444,2025-12-03
T224,73455,2025-12-03
T324,75900,2025-12-03
T424,80100,2025-12-03
T125,74261,2025-12-03
T225,81094,2025-12-03
T325,86716,2025-12-03
T194,9473,2025-12-04
T294,10607,2025-12-04
T394,10668,2025-12-04
T494,11972,2025-12-04
T195,12096,2025-12-04
T295,13191,2025-12-04
T395,13040,2025-12-04
T495,13080,2025-12-04
T196,12761,2025-12-04
T296,13973,2025-12-04
T396,13259,2025-12-04
T496,13419,2025-12-04
T197,12964,2025-12-04
T297,14645,2025-12-04
T397,14303,2025-12-04
T497,14391,2025-12-04
T198,13660,2025-12-04
T298,14407,2025-12-04
T398,13381,2025-12-04
T498,12584,2025-12-04
T199,11570,2025-12-04
T299,12667,2025-12-04
T399,11934,2025-12-04
T499,12554,2025-12-04
T100,12431,2025-12-04
T200,13242,2025-12-04
T300,12428,2025-12-04
T400,12331,2025-12-04
T101,11854,2025-12-04
T201,13160,2025-12-04
T301,12743,2025-12-04
T401,13292,2025-12-04
T102,12765,2025-12-04
T202,14499,2025-12-04
T302,12987,2025-12-04
T402,13738,2025-12-04
T103,13787,2025-12-04
T203,15496,2025-12-04
T303,14335,2025-12-04
T403,14928,2025-12-04
T104,15233,2025-12-04
T204,17316,2025-12-04
T304,16045,2025-12-04
T404,17561,2025-12-04
T105,17283,2025-12-04
T205,19655,2025-12-04
T305,18248,2025-12-04
T405,19055,2025-12-04
T106,19607,2025-12-04
T206,22585,2025-12-04
T306,22112,2025-12-04
T406,23263,2025-12-04
T107,23004,2025-12-04
T207,25423,2025-12-04
T307,25613,2025-12-04
T407,28347,2025-12-04
T108,28393,2025-12-04
T208,32426,2025-12-04
T308,31074,2025-12-04
T408,29231,2025-12-04
T109,26497,2025-12-04
T209,30251,2025-12-04
T309,31319,2025-12-04
T409,34627,2025-12-04
T110,33322,2025-12-04
T210,37346,2025-12-04
T310,38148,2025-12-04
T410,40567,2025-12-04
T111,39062,2025-12-04
T211,42338,2025-12-04
T311,43731,2025-12-04
T411,45679,2025-12-04
T112,44197,2025-12-04
T212,47455,2025-12-04
T312,49457,2025-12-04
T412,52127,2025-12-04
T113,49240,2025-12-04
T213,51359,2025-12-04
T313,50034,2025-12-04
T413,52454,2025-12-04
T114,48217,2025-12-04
T214,51385,2025-12-04
T314,52176,2025-12-04
T414,52455,2025-12-04
T115,46546,2025-12-04
T215,49124,2025-12-04
T315,48654,2025-12-04
T415,50092,2025-12-04
T116,45249,2025-12-04
T216,50066,2025-12-04
T316,51108,2025-12-04
T416,52793,2025-12-04
T117,50525,2025-12-04
T217,54231,2025-12-04
T317,56267,2025-12-04
T417,58711,2025-12-04
T118,54393,2025-12-04
T218,58686,2025-12-04
T318,57255,2025-12-04
T418,59553,2025-12-04
T119,54629,2025-12-04
T219,59592,2025-12-04
T319,59985,2025-12-04
T419,62311,2025-12-04
T120,53020,2025-12-04
T220,41524,2025-12-04
T320,53987,2025-12-04
T420,61192,2025-12-04
T121,55168,2025-12-04
T221,57264,2025-12-04
T321,56770,2025-12-04
T421,60695,2025-12-04
T122,57566,2025-12-04
T222,62187,2025-12-04
T322,62047,2025-12-04
T422,66746,2025-12-04
T123,61671,2025-12-04
T223,68021,2025-12-04
T323,70248,2025-12-04
T423,72555,2025-12-04
T124,66444,2025-12-04
T224,73455,2025-12-04
T324,75900,2025-12-04
T424,80100,2025-12-04
T125,74261,2025-12-04
T225,81094,2025-12-04
T325,86716,2025-12-04
T194,9473,2025-12-05
T294,10607,2025-12-05
T394,10668,2025-12-05
T494,11972,2025-12-05
T195,12096,2025-12-05
T295,13191,2025-12-05
T395,13040,2025-12-05
T495,13080,2025-12-05
T196,12761,2025-12-05
T296,13973,2025-12-05
T396,13259,2025-12-05
T496,13419,2025-12-05
T197,12964,2025-12-05
T297,14645,2025-12-05
T397,14303,2025-12-05
T497,14391,2025-12-05
T198,13660,2025-12-05
T298,14407,2025-12-05
T398,13381,2025-12-05
T498,12584,2025-12-05
T199,11570,2025-12-05
T299,12667,2025-12-05
T399,11934,2025-12-05
T499,12554,2025-12-05
T100,12431,2025-12-05
T200,13242,2025-12-05
T300,12428,2025-12-05
T400,12331,2025-12-05
T101,11854,2025-12-05
T201,13160,2025-12-05
T301,12743,2025-12-05
T401,13292,2025-12-05
T102,12765,2025-12-05
T202,14499,2025-12-05
T302,12987,2025-12-05
T402,13738,2025-12-05
T103,13787,2025-12-05
T203,15496,2025-12-05
T303,14335,2025-12-05
T403,14928,2025-12-05
T104,15233,2025-12-05
T204,17316,2025-12-05
T304,16045,2025-12-05
T404,17561,2025-12-05
T105,17283,2025-12-05
T205,19655,2025-12-05
T305,18248,2025-12-05
T405,19055,2025-12-05
T106,19607,2025-12-05
T206,22585,2025-12-05
T306,22112,2025-12-05
T406,23263,2025-12-05
T107,23004,2025-12-05
T207,25423,2025-12-05
T307,25613,2025-12-05
T407,28347,2025-12-05
T108,28393,2025-12-05
T208,32426,2025-12-05
T308,31074,2025-12-05
T408,29231,2025-12-05
T109,26497,2025-12-05
T209,30251,2025-12-05
T309,31319,2025-12-05
T409,34627,2025-12-05
T110,33322,2025-12-05
T210,37346,2025-12-05
T310,38148,2025-12-05
T410,40567,2025-12-05
T111,39062,2025-12-05
T211,42338,2025-12-05
T311,43731,2025-12-05
T411,45679,2025-12-05
T112,44197,2025-12-05
T212,47455,2025-12-05
T312,49457,2025-12-05
T412,52127,2025-12-05
T113,49240,2025-12-05
T213,51359,2025-12-05
T313,50034,2025-12-05
T413,52454,2025-12-05
T114,48217,2025-12-05
T214,51385,2025-12-05
T314,52176,2025-12-05
T414,52455,2025-12-05
T115,46546,2025-12-05
T215,49124,2025-12-05
T315,48654,2025-12-05
T415,50092,2025-12-05
T116,45249,2025-12-05
T216,50066,2025-12-05
T316,51108,2025-12-05
T416,52793,2025-12-05
T117,50525,2025-12-05
T217,54231,2025-12-05
T317,56267,2025-12-05
T417,58711,2025-12-05
T118,54393,2025-12-05
T218,58686,2025-12-05
T318,57255,2025-12-05
T418,59553,2025-12-05
T119,54629,2025-12-05
T219,59592,2025-12-05
T319,59985,2025-12-05
T419,62311,2025-12-05
T120,53020,2025-12-05
T220,41524,2025-12-05
T320,53987,2025-12-05
T420,61192,2025-12-05
T121,55168,2025-12-05
T221,57264,2025-12-05
T321,56770,2025-12-05
T421,60695,2025-12-05
T122,57566,2025-12-05
T222,62187,2025-12-05
T322,62047,2025-12-05
T422,66746,2025-12-05
T123,61671,2025-12-05
T223,68021,2025-12-05
T323,70248,2025-12-05
T423,72555,2025-12-05
T124,66444,2025-12-05
T224,73455,2025-12-05
T324,75900,2025-12-05
T424,80100,2025-12-05
T125,74261,2025-12-05
T225,81094,2025-12-05
T325,86716,2025-12-05
T194,9473,2025-12-06
T294,10607,2025-12-06
T394,10668,2025-12-06
T494,11972,2025-12-06
T195,12096,2025-12-06
T295,13191,2025-12-06
T395,13040,2025-12-06
T495,13080,2025-12-06
T196,12761,2025-12-06
T296,13973,2025-12-06
T396,13259,2025-12-06
T496,13419,2025-12-06
T197,12964,2025-12-06
T297,14645,2025-12-06
T397,14303,2025-12-06
T497,14391,2025-12-06
T198,13660,2025-12-06
T298,14407,2025-12-06
T398,13381,2025-12-06
T498,12584,2025-12-06
T199,11570,2025-12-06
T299,12667,2025-12-06
T399,11934,2025-12-06
T499,12554,2025-12-06
T100,12431,2025-12-06
T200,13242,2025-12-06
T300,12428,2025-12-06
T400,12331,2025-12-06
T101,11854,2025-12-06
T201,13160,2025-12-06
T301,12743,2025-12-06
T401,13292,2025-12-06
T102,12765,2025-12-06
T202,14499,2025-12-06
T302,12987,2025-12-06
T402,13738,2025-12-06
T103,13787,2025-12-06
T203,15496,2025-12-06
T303,14335,2025-12-06
T403,14928,2025-12-06
T104,15233,2025-12-06
T204,17316,2025-12-06
T304,16045,2025-12-06
T404,17561,2025-12-06
T105,17283,2025-12-06
T205,19655,2025-12-06
T305,18248,2025-12-06
T405,19055,2025-12-06
T106,19607,2025-12-06
T206,22585,2025-12-06
T306,22112,2025-12-06
T406,23263,2025-12-06
T107,23004,2025-12-06
T207,25423,2025-12-06
T307,25613,2025-12-06
T407,28347,2025-12-06
T108,28393,2025-12-06
T208,32426,2025-12-06
T308,31074,2025-12-06
T408,29231,2025-12-06
T109,26497,2025-12-06
T209,30251,2025-12-06
T309,31319,2025-12-06
T409,34627,2025-12-06
T110,33322,2025-12-06
T210,37346,2025-12-06
T310,38148,2025-12-06
T410,40567,2025-12-06
T111,39062,2025-12-06
T211,42338,2025-12-06
T311,43731,2025-12-06
T411,45679,2025-12-06
T112,44197,2025-12-06
T212,47455,2025-12-06
T312,49457,2025-12-06
T412,52127,2025-12-06
T113,49240,2025-12-06
T213,51359,2025-12-06
T313,50034,2025-12-06
T413,52454,2025-12-06
T114,48217,2025-12-06
T214,51385,2025-12-06
T314,52176,2025-12-06
T414,52455,2025-12-06
T115,46546,2025-12-06
T215,49124,2025-12-06
T315,48654,2025-12-06
T415,50092,2025-12-06
T116,45249,2025-12-06
T216,50066,2025-12-06
T316,51108,2025-12-06
T416,52793,2025-12-06
T117,50525,2025-12-06
T217,54231,2025-12-06
T317,56267,2025-12-06
T417,58711,2025-12-06
T118,54393,2025-12-06
T218,58686,2025-12-06
T318,57255,2025-12-06
T418,59553,2025-12-06
T119,54629,2025-12-06
T219,59592,2025-12-06
T319,59985,2025-12-06
T419,62311,2025-12-06
T120,53020,2025-12-06
T220,41524,2025-12-06
T320,53987,2025-12-06
T420,61192,2025-12-06
T121,55168,2025-12-06
T221,57264,2025-12-06
T321,56770,2025-12-06
T421,60695,2025-12-06
T122,57566,2025-12-06
T222,62187,2025-12-06
T322,62047,2025-12-06
T422,66746,2025-12-06
T123,61671,2025-12-06
T223,68021,2025-12-06
T323,70248,2025-12-06
T423,72555,2025-12-06
T124,66444,2025-12-06
T224,73455,2025-12-06
T324,75900,2025-12-06
T424,80100,2025-12-06
T125,74261,2025-12-06
T225,81094,2025-12-06
T325,86716,2025-12-06
T194,9473,2025-12-07
T294,10607,2025-12-07
T394,10668,2025-12-07
T494,11972,2025-12-07
T195,12096,2025-12-07
T295,13191,2025-12-07
T395,13040,2025-12-07
T495,13080,2025-12-07
T196,12761,2025-12-07
T296,13973,2025-12-07
T396,13259,2025-12-07
T496,13419,2025-12-07
T197,12964,2025-12-07
T297,14645,2025-12-07
T397,14303,2025-12-07
T497,14391,2025-12-07
T198,13660,2025-12-07
T298,14407,2025-12-07
T398,13381,2025-12-07
T498,12584,2025-12-07
T199,11570,2025-12-07
T299,12667,2025-12-07
T399,11934,2025-12-07
T499,12554,2025-12-07
T100,12431,2025-12-07
T200,13242,2025-12-07
T300,12428,2025-12-07
T400,12331,2025-12-07
T101,11854,2025-12-07
T201,13160,2025-12-07
T301,12743,2025-12-07
T401,13292,2025-12-07
T102,12765,2025-12-07
T202,14499,2025-12-07
T302,12987,2025-12-07
T402,13738,2025-12-07
T103,13787,2025-12-07
T203,15496,2025-12-07
T303,14335,2025-12-07
T403,14928,2025-12-07
T104,15233,2025-12-07
T204,17316,2025-12-07
T304,16045,2025-12-07
T404,17561,2025-12-07
T105,17283,2025-12-07
T205,19655,2025-12-07
T305,18248,2025-12-07
T405,19055,2025-12-07
T106,19607,2025-12-07
T206,22585,2025-12-07
T306,22112,2025-12-07
T406,23263,2025-12-07
T107,23004,2025-12-07
T207,25423,2025-12-07
T307,25613,2025-12-07
T407,28347,2025-12-07
T108,28393,2025-12-07
T208,32426,2025-12-07
T308,31074,2025-12-07
T408,29231,2025-12-07
T109,26497,2025-12-07
T209,30251,2025-12-07
T309,31319,2025-12-07
T409,34627,2025-12-07
T110,33322,2025-12-07
T210,37346,2025-12-07
T310,38148,2025-12-07
T410,40567,2025-12-07
T111,39062,2025-12-07
T211,42338,2025-12-07
T311,43731,2025-12-07
T411,45679,2025-12-07
T112,44197,2025-12-07
T212,47455,2025-12-07
T312,49457,2025-12-07
T412,52127,2025-12-07
T113,49240,2025-12-07
T213,51359,2025-12-07
T313,50034,2025-12-07
T413,52454,2025-12-07
T114,48217,2025-12-07
T214,51385,2025-12-07
T314,52176,2025-12-07
T414,52455,2025-12-07
T115,46546,2025-12-07
T215,49124,2025-12-07
T315,48654,2025-12-07
T415,50092,2025-12-07
T116,45249,2025-12-07
T216,50066,2025-12-07
T316,51108,2025-12-07
T416,52793,2025-12-07
T117,50525,2025-12-07
T217,54231,2025-12-07
T317,56267,2025-12-07
T417,58711,2025-12-07
T118,54393,2025-12-07
T218,58686,2025-12-07
T318,57255,2025-12-07
T418,59553,2025-12-07
T119,54629,2025-12-07
T219,59592,2025-12-07
T319,59985,2025-12-07
T419,62311,2025-12-07
T120,53020,2025-12-07
T220,41524,2025-12-07
T320,53987,2025-12-07
T420,61192,2025-12-07
T121,55168,2025-12-07
T221,57264,2025-12-07
T321,56770,2025-12-07
T421,60695,2025-12-07
T122,57566,2025-12-07
T222,62187,2025-12-07
T322,62047,2025-12-07
T422,66746,2025-12-07
T123,61671,2025-12-07
T223,68021,2025-12-07
T323,70248,2025-12-07
T423,72555,2025-12-07
T124,66444,2025-12-07
T224,73455,2025-12-07
T324,75900,2025-12-07
T424,80100,2025-12-07
T125,74261,2025-12-07
T225,81094,2025-12-07
T325,86716,2025-12-07
T194,9473,2025-12-08
T294,10607,2025-12-08
T394,10668,2025-12-08
T494,11972,2025-12-08
T195,12096,2025-12-08
T295,13191,2025-12-08
T395,13040,2025-12-08
T495,13080,2025-12-08
T196,12761,2025-12-08
T296,13973,2025-12-08
T396,13259,2025-12-08
T496,13419,2025-12-08
T197,12964,2025-12-08
T297,14645,2025-12-08
T397,14303,2025-12-08
T497,14391,2025-12-08
T198,13660,2025-12-08
T298,14407,2025-12-08
T398,13381,2025-12-08
T498,12584,2025-12-08
T199,11570,2025-12-08
T299,12667,2025-12-08
T399,11934,2025-12-08
T499,12554,2025-12-08
T100,12431,2025-12-08
T200,13242,2025-12-08
T300,12428,2025-12-08
T400,12331,2025-12-08
T101,11854,2025-12-08
T201,13160,2025-12-08
T301,12743,2025-12-08
T401,13292,2025-12-08
T102,12765,2025-12-08
T202,14499,2025-12-08
T302,12987,2025-12-08
T402,13738,2025-12-08
T103,13787,2025-12-08
T203,15496,2025-12-08
T303,14335,2025-12-08
T403,14928,2025-12-08
T104,15233,2025-12-08
T204,17316,2025-12-08
T304,16045,2025-12-08
T404,17561,2025-12-08
T105,17283,2025-12-08
T205,19655,2025-12-08
T305,18248,2025-12-08
T405,19055,2025-12-08
T106,19607,2025-12-08
T206,22585,2025-12-08
T306,22112,2025-12-08
T406,23263,2025-12-08
T107,23004,2025-12-08
T207,25423,2025-12-08
T307,25613,2025-12-08
T407,28347,2025-12-08
T108,28393,2025-12-08
T208,32426,2025-12-08
T308,31074,2025-12-08
T408,29231,2025-12-08
T109,26497,2025-12-08
T209,30251,2025-12-08
T309,31319,2025-12-08
T409,34627,2025-12-08
T110,33322,2025-12-08
T210,37346,2025-12-08
T310,38148,2025-12-08
T410,40567,2025-12-08
T111,39062,2025-12-08
T211,42338,2025-12-08
T311,43731,2025-12-08
T411,45679,2025-12-08
T112,44197,2025-12-08
T212,47455,2025-12-08
T312,49457,2025-12-08
T412,52127,2025-12-08
T113,49240,2025-12-08
T213,51359,2025-12-08
T313,50034,2025-12-08
T413,52454,2025-12-08
T114,48217,2025-12-08
T214,51385,2025-12-08
T314,52176,2025-12-08
T414,52455,2025-12-08
T115,46546,2025-12-08
T215,49124,2025-12-08
T315,48654,2025-12-08
T415,50092,2025-12-08
T116,45249,2025-12-08
T216,50066,2025-12-08
T316,51108,2025-12-08
T416,52793,2025-12-08
T117,50525,2025-12-08
T217,54231,2025-12-08
T317,56267,2025-12-08
T417,58711,2025-12-08
T118,54393,2025-12-08
T218,58686,2025-12-08
T318,57255,2025-12-08
T418,59553,2025-12-08
T119,54629,2025-12-08
T219,59592,2025-12-08
T319,59985,2025-12-08
T419,62311,2025-12-08
T120,53020,2025-12-08
T220,41524,2025-12-08
T320,53987,2025-12-08
T420,61192,2025-12-08
T121,55168,2025-12-08
T221,57264,2025-12-08
T321,56770,2025-12-08
T421,60695,2025-12-08
T122,57566,2025-12-08
T222,62187,2025-12-08
T322,62047,2025-12-08
T422,66746,2025-12-08
T123,61671,2025-12-08
T223,68021,2025-12-08
T323,70248,2025-12-08
T423,72555,2025-12-08
T124,66444,2025-12-08
T224,73455,2025-12-08
T324,75900,2025-12-08
T424,80100,2025-12-08
T125,74261,2025-12-08
T225,81094,2025-12-08
T325,86716,2025-12-08
