Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,119.59,116.81,points,Mar 2026
Core Consumer Prices,117.8,116.91,points,Mar 2026
Core Inflation Rate,2.26,2.13,percent,Mar 2026
CPI Housing Utilities,103.94,102.7,points,Mar 2026
CPI Transportation,124.08,115.04,points,Mar 2026
Inflation Rate YoY,4.0,3.8,percent,Apr 2026
Inflation Rate MoM,0.52,2.38,percent,Apr 2026
Producer Prices,130.5,126.57,points,Mar 2026
