Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast
2026-04-01,08:00 AM,Inflation Rate YoY,Mar,3.80%,2.21%,,2.4%
2026-05-01,08:00 AM,Inflation Rate YoY,Apr,4.0%,3.80%,,4.3%
2026-06-01,08:00 AM,Inflation Rate YoY,May,,4.0%,,
