fecha_consulta,Moneda,Compra,Venta
2025-09-16,Dólar de N.A.,3.49,3.499
2025-09-16,Dólar Canadiense,2.186,2.696
2025-09-16,Peso Chileno,0.003,
2025-09-16,Libra Esterlina,4.724,4.86
2025-09-16,Yen Japonés,0.024,
2025-09-16,Peso Mexicano,,0.191
2025-09-16,Franco Suizo,,4.415
2025-09-16,Euro,4.08,4.295
