fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-06-14,Reporte ADP De Empleo,37.00,60.00,Mil,May 2025
2025-06-14,Recortes de empleo Challenger,93816.00,105441.00,Personas,May 2025
2025-06-14,Peticiones extendidas de desempleo,1956.00,1902.00,Mil,May 2025
2025-06-14,Peticiones por desempleo,248.00,248.00,Mil,Jun 2025
2025-06-14,Jolts Vacantes de Empleo,7391.00,7200.00,Mil,Apr 2025
2025-06-14,Nóminas no agrícolas,139.00,147.00,Mil,May 2025
2025-06-14,Tasa de desempleo,4.20,4.20,Por Ciento,May 2025
