fecha_consulta,Moneda,Compra,Venta
2026-09-02,Dólar de N.A.,3.36,3.368
2026-09-02,Dólar Australiano,2.21,
2026-09-02,Dólar Canadiense,2.241,2.532
2026-09-02,Libra Esterlina,4.438,4.586
2026-09-02,Yen Japonés,,0.022
2026-09-02,Peso Mexicano,0.198,0.199
2026-09-02,Franco Suizo,3.855,4.159
2026-09-02,Euro,3.819,3.924
