Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.93,115.66,points,Jul 2025
Core Consumer Prices,116.03,115.81,points,Jul 2025
Core Inflation Rate,2.31,2.28,percent,Jul 2025
CPI Housing Utilities,102.68,103.71,points,Aug 2025
CPI Transportation,113.43,113.7,points,Aug 2025
Inflation Rate YoY,1.11,1.69,percent,Aug 2025
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025
Producer Prices,128.81,129.76,points,Jul 2025
