Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,116.01,115.89,points,Jan 2026
Core Consumer Prices,116.65,116.49,points,Jan 2026
Core Inflation Rate,2.19,2.12,percent,Jan 2026
CPI Housing Utilities,102.01,101.97,points,Jan 2026
CPI Transportation,114.72,115.17,points,Jan 2026
Inflation Rate YoY,1.7,1.51,percent,Jan 2026
Inflation Rate MoM,0.1,0.24,percent,Jan 2026
Producer Prices,126.08,125.99,points,Jan 2026
