fecha_consulta,Moneda,Compra,Venta
2025-09-12,Dólar de N.A.,3.476,3.485
2025-09-12,Dólar Canadiense,2.325,2.522
2025-09-12,Peso Chileno,0.003,
2025-09-12,Libra Esterlina,4.105,4.792
2025-09-12,Peso Mexicano,0.187,0.19
2025-09-12,Franco Suizo,4.018,4.385
2025-09-12,Euro,3.818,4.322
