fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-07-31,Reporte ADP De Empleo,104.00,-23.00,Mil,Jul 2025
2025-07-31,Recortes de empleo Challenger,62075.00,47999.00,Personas,Jul 2025
2025-07-31,Peticiones extendidas de desempleo,1955.00,1951.00,Mil,Jul 2025
2025-07-31,Peticiones por desempleo,217.00,221.00,Mil,Jul 2025
2025-07-31,Jolts Vacantes de Empleo,7437.00,7712.00,Mil,Jun 2025
2025-07-31,Nóminas no agrícolas,147.00,144.00,Mil,Jun 2025
2025-07-31,Tasa de desempleo,4.10,4.20,Por Ciento,Jun 2025
