fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-07-11,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,25.00,40.00,Mil,Jun 2026
2026-07-11,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,29.00,17.00,Mil,Jun 2026
2026-07-11,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,53.00,67.00,Mil,Jun 2026
2026-07-11,Reporte ADP De Empleo,98.00,122.00,Mil,Jun 2026
2026-07-11,Cambio de Empleo ADP (ADP) Semanal,21.00,24.25,Mil,Jun 2026
2026-07-11,Recortes de empleo Challenger,45849.00,97006.00,Personas,Jun 2026
2026-07-11,Peticiones extendidas de desempleo,1814.00,1806.00,Mil,Jun 2026
2026-07-11,Peticiones por desempleo,215.00,217.00,Mil,Jul 2026
2026-07-11,Jolts Vacantes de Empleo,7594.00,7585.00,Mil,May 2026
2026-07-11,Nóminas no agrícolas,57.00,129.00,Mil,Jun 2026
2026-07-11,Tasa de Desempleo,4.20,4.30,Por Ciento,Jun 2026
