fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-05-22,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,42.00,-4.00,Mil,Apr 2026
2026-05-22,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,2.00,-20.00,Mil,Apr 2026
2026-05-22,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,65.00,85.00,Mil,Apr 2026
2026-05-22,Reporte ADP De Empleo,109.00,61.00,Mil,Apr 2026
2026-05-22,Cambio de Empleo ADP (ADP) Semanal,42.25,33.00,Mil,May 2026
2026-05-22,Recortes de empleo Challenger,83387.00,60620.00,Personas,Apr 2026
2026-05-22,Peticiones extendidas de desempleo,1782.00,1776.00,Mil,May 2026
2026-05-22,Peticiones por desempleo,209.00,212.00,Mil,May 2026
2026-05-22,Jolts Vacantes de Empleo,6866.00,6922.00,Mil,Mar 2026
2026-05-22,Nóminas no agrícolas,115.00,185.00,Mil,Apr 2026
2026-05-22,Tasa de Desempleo,4.30,4.30,Por Ciento,Apr 2026
