Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.89,115.61,points,Dec 2025
Core Consumer Prices,116.22,116.07,points,Nov 2025
Core Inflation Rate,2.12,2.12,percent,Nov 2025
CPI Housing Utilities,101.93,102.34,points,Nov 2025
CPI Transportation,113.56,113.55,points,Nov 2025
Inflation Rate YoY,1.51,1.37,percent,Dec 2025
Inflation Rate MoM,0.24,0.11,percent,Dec 2025
Producer Prices,126.09,126.58,points,Nov 2025
