Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast,fecha_carga
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-02
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-03
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-03
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-03
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-04
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-04
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-04
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-05
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-05
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-05
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-06
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-06
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-06
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-07
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-07
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-07
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-08
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-08
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,,2025-07-08
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-09
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-09
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-09
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-10
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-10
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-10
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-11
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-11
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-11
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-12
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-12
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-12
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-13
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-13
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-13
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-14
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-14
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-14
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-15
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-15
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-15
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-16
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-16
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-16
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-17
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-17
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-17
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-18
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-18
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-18
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-19
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-19
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-19
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-20
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-20
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-20
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-21
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-21
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-21
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-22
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-22
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-22
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-23
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-23
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-23
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-24
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-24
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-24
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-25
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-25
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-25
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-26
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-26
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-26
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-27
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-27
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-27
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-28
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-28
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-28
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-29
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-29
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-29
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-30
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-30
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-30
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-07-31
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-07-31
2025-08-01,08:00 AM,Inflation Rate YoY,Jul,,1.69%,,1.8%,2025-07-31
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-01
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-01
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,,,,2025-08-01
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-02
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-02
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,,,,2025-08-02
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-03
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-03
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,,,,2025-08-03
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-04
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-04
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,,,,2025-08-04
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-05
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-05
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,,,,2025-08-05
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-06
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-06
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-06
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-07
