Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast,fecha_carga
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-14
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-15
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-15
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-15
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-16
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-16
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-16
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-17
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-17
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-17
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-18
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-18
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-18
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-19
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-19
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-19
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-20
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-20
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-20
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-21
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-21
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-21
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-22
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-22
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-22
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-23
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-23
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.5%,2025-09-23
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-24
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-24
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.5%,2025-09-24
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-25
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-25
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.5%,2025-09-25
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-26
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-26
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.5%,2025-09-26
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-27
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-27
2025-10-01,07:30 AM,Inflation Rate YoY,Sep,,1.11%,,1.5%,2025-09-27
