Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,120.02,120.21,points,May 2026
Core Consumer Prices,118.15,117.8,points,Apr 2026
Core Inflation Rate,2.37,2.26,percent,Apr 2026
CPI Housing Utilities,104.28,103.94,points,Apr 2026
CPI Transportation,128.56,124.08,points,Apr 2026
Inflation Rate YoY,3.91,4.01,percent,May 2026
Inflation Rate MoM,-0.16,0.52,percent,May 2026
Producer Prices,132.4,130.5,points,Apr 2026
