fecha_consulta,Moneda,Compra,Venta
2026-03-22,Dólar de N.A.,3.469,3.477
2026-03-22,Dólar Australiano,,2.653
2026-03-22,Dólar Canadiense,2.334,2.635
2026-03-22,Peso Chileno,0.003,
2026-03-22,Libra Esterlina,4.368,4.505
2026-03-22,Yen Japonés,,0.027
2026-03-22,Peso Mexicano,0.194,0.195
2026-03-22,Franco Suizo,4.03,4.564
2026-03-22,Euro,3.803,4.183
