Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,120.64,120.29,points,Jul 2026
Core Consumer Prices,119.02,118.73,points,Jul 2026
Core Inflation Rate,2.58,2.52,percent,Jul 2026
CPI Housing Utilities,105.27,105.37,points,Jul 2026
CPI Transportation,127.87,127.62,points,Jul 2026
Inflation Rate YoY,4.07,4.01,percent,Jul 2026
Inflation Rate MoM,0.29,0.23,percent,Jul 2026
Producer Prices,130.5,131.8,points,Jun 2026
