fecha_consulta,Moneda,Compra,Venta
2026-02-11,Dólar de N.A.,3.353,3.362
2026-02-11,Dólar Canadiense,,2.494
2026-02-11,Peso Chileno,0.003,
2026-02-11,Libra Esterlina,4.237,4.617
2026-02-11,Yen Japonés,0.022,
2026-02-11,Peso Mexicano,0.194,0.196
2026-02-11,Franco Suizo,4.051,4.543
2026-02-11,Euro,3.728,4.182
