Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.59,115.93,points,Aug 2025
Core Consumer Prices,116.0,116.03,points,Aug 2025
Core Inflation Rate,2.1,2.31,percent,Aug 2025
CPI Housing Utilities,102.68,103.71,points,Aug 2025
CPI Transportation,113.43,113.7,points,Aug 2025
Inflation Rate YoY,1.11,1.69,percent,Aug 2025
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025
Producer Prices,128.81,129.76,points,Jul 2025
