fecha_consulta,Moneda,Compra,Venta
2025-07-10,Dólar de N.A.,3.546,3.555
2025-07-10,Dólar Canadiense,2.408,
2025-07-10,Peso Chileno,0.003,
2025-07-10,Libra Esterlina,4.762,5.263
2025-07-10,Yen Japonés,,0.024
2025-07-10,Peso Mexicano,0.19,0.192
2025-07-10,Franco Suizo,4.205,
2025-07-10,Euro,3.959,4.372
