Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.66,115.51,points,Jun 2025
Core Consumer Prices,115.58,115.42,points,May 2025
Core Inflation Rate,2.28,2.3,percent,May 2025
CPI Housing Utilities,104.03,104.22,points,May 2025
CPI Transportation,113.2,113.56,points,May 2025
Inflation Rate YoY,1.7,1.69,percent,Jun 2025
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025
Producer Prices,130.21,130.73,points,May 2025
