Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,120.02,120.21,points,May 2026
Core Consumer Prices,118.52,118.15,points,May 2026
Core Inflation Rate,2.54,2.37,percent,May 2026
CPI Housing Utilities,105.27,104.28,points,May 2026
CPI Transportation,128.22,128.56,points,May 2026
Inflation Rate YoY,3.91,4.01,percent,May 2026
Inflation Rate MoM,-0.16,0.52,percent,May 2026
Producer Prices,132.4,130.5,points,Apr 2026
