fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-06-04,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,42.00,-4.00,Mil,Apr 2026
2026-06-04,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,2.00,-20.00,Mil,Apr 2026
2026-06-04,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,65.00,85.00,Mil,Apr 2026
2026-06-04,Reporte ADP De Empleo,122.00,105.00,Mil,May 2026
2026-06-04,Cambio de Empleo ADP (ADP) Semanal,35.75,40.75,Mil,May 2026
2026-06-04,Recortes de empleo Challenger,97006.00,83387.00,Personas,May 2026
2026-06-04,Peticiones extendidas de desempleo,1777.00,1785.00,Mil,May 2026
2026-06-04,Peticiones por desempleo,225.00,212.00,Mil,May 2026
2026-06-04,Jolts Vacantes de Empleo,7618.00,6887.00,Mil,Apr 2026
2026-06-04,Nóminas no agrícolas,115.00,185.00,Mil,Apr 2026
2026-06-04,Tasa de Desempleo,4.30,4.30,Por Ciento,Apr 2026
