fecha_consulta,Moneda,Compra,Venta
2026-07-06,Dólar de N.A.,3.392,3.403
2026-07-06,Dólar Australiano,2.153,2.555
2026-07-06,Dólar Canadiense,2.249,2.41
2026-07-06,Peso Chileno,0.003,
2026-07-06,Libra Esterlina,4.207,4.707
2026-07-06,Yen Japonés,0.021,0.023
2026-07-06,Peso Mexicano,,0.195
2026-07-06,Franco Suizo,3.892,4.483
2026-07-06,Euro,3.765,4.028
