Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.6,115.59,points,Sep 2025
Core Consumer Prices,116.02,116.0,points,Sep 2025
Core Inflation Rate,2.09,2.1,percent,Sep 2025
CPI Housing Utilities,102.57,102.68,points,Sep 2025
CPI Transportation,113.38,113.43,points,Sep 2025
Inflation Rate YoY,1.36,1.11,percent,Sep 2025
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025
Producer Prices,127.38,127.82,points,Sep 2025
