Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.93,115.66,points,Jul 2025
Core Consumer Prices,115.81,115.58,points,Jun 2025
Core Inflation Rate,2.28,2.28,percent,Jun 2025
CPI Housing Utilities,104.15,104.03,points,Jun 2025
CPI Transportation,113.13,113.2,points,Jun 2025
Inflation Rate YoY,1.69,1.69,percent,Jul 2025
Inflation Rate MoM,0.23,0.13,percent,Jul 2025
Producer Prices,129.76,130.21,points,Jun 2025
