Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast
2026-05-01,08:00 AM,Inflation Rate YoY,Apr,4.0%,3.80%,,4.3%
2026-06-01,06:00 AM,Inflation Rate YoY,May,3.9%,4.0%,,4.4%
2026-07-01,07:30 AM,Inflation Rate YoY,Jun,,3.9%,,4.9%
