fecha_consulta,Moneda,Compra,Venta
2026-02-02,Dólar de N.A.,3.35,3.355
2026-02-02,Dólar Canadiense,2.312,2.541
2026-02-02,Peso Chileno,0.003,
2026-02-02,Libra Esterlina,4.449,4.643
2026-02-02,Yen Japonés,0.022,
2026-02-02,Peso Mexicano,0.193,0.194
2026-02-02,Franco Suizo,4.022,
2026-02-02,Euro,3.719,4.177
