fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-08-22,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,13.00,23.00,Mil,Jul 2026
2026-08-22,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,8.00,29.00,Mil,Jul 2026
2026-08-22,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,23.00,53.00,Mil,Jul 2026
2026-08-22,Reporte ADP De Empleo,44.00,95.00,Mil,Jul 2026
2026-08-22,Cambio de Empleo ADP (ADP) Semanal,9.50,8.25,Mil,Aug 2026
2026-08-22,Recortes de empleo Challenger,33429.00,45849.00,Personas,Jul 2026
2026-08-22,Peticiones extendidas de desempleo,1799.00,1781.00,Mil,Aug 2026
2026-08-22,Peticiones por desempleo,206.00,212.00,Mil,Aug 2026
2026-08-22,Jolts Vacantes de Empleo,7359.00,7537.00,Mil,Jun 2026
2026-08-22,Nóminas no agrícolas,-23.00,20.00,Mil,Jul 2026
2026-08-22,Tasa de Desempleo,4.10,4.20,Por Ciento,Jul 2026
