Entidad,"Tasa de Rendimiento Efectivo Anual (TREA)
(%)",DEPARTAMENTO,TIPO_DE_PRODUCTO,PRODUCTO,CONDICION,FECHA,TREA (US$ 1000),TREA (US$ 3000),TREA (US$ 10000),TREA (S/. 1000),TREA (S/. 3000),TREA (S/. 10000),TREA Mínima S/,TREA Máxima S/,TREA Mínima US$,TREA Máxima US$,"Tasa de Rendimiento
Efectivo Anual
(TREA) (%)",Tasa de Rendimiento Efectivo Anual (TREA) (%)
CMAC AREQUIPA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.35,
MIBANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.35,
CMAC PIURA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.3,
INTERBANK,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.3,
BANCO DE CREDITO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.25,
BANCO RIPLEY,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.25,
FINANC. PROEMPRESA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.25,
CRAC CENCOSUD SCOTIA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.2,
CMAC ICA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.15,
CMAC TRUJILLO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.11,
FINANCIERA CONFIANZA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.01,
CMAC CUSCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.01,
COMPARTAMOS BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.01,
BANCO FALABELLA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2,
BANCO PICHINCHA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1,
BN. SANTANDER CONS.,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.8,
BBVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.75,
SCOTIABANK PERU,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.7,
BANCOM,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.65,
CRAC LOS ANDES,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
BANCO GNB,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
CMCP LIMA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.45,
ALFIN BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.4,
BANBIF,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.4,
CMAC TACNA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.35,
CMAC HUANCAYO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.35,
MIBANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.35,
CMAC PIURA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.3,
INTERBANK,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.3,
CMAC AREQUIPA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.3,
BANCO RIPLEY,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.25,
FINANC. PROEMPRESA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.25,
BANCO DE CREDITO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.2,
CRAC CENCOSUD SCOTIA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.2,
CMAC ICA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.15,
CMAC TRUJILLO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.11,
FINANCIERA CONFIANZA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.01,
CMAC CUSCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN DOLARES,DEPOSITOS A PLAZO POR US$. 3 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.01,
FINANCIERA EFECTIVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,5.25,
BANCO RIPLEY,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4.25,
BANCO FALABELLA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
CRAC LOS ANDES,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
CRAC CENCOSUD SCOTIA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
FINANCIERA CONFIANZA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
BBVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
CMCP LIMA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.4,
COMPARTAMOS BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.3,
CMAC TRUJILLO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.2,
CRAC INCASUR,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.1,
CMAC PIURA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3,
CMAC ICA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3,
CMAC HUANCAYO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.85,
BN. SANTANDER CONS.,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.8,
BANCOM,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.75,
CMAC TACNA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.7,
CMAC CUSCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.6,
ALFIN BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.5,
FINANC. PROEMPRESA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.8,
CMAC AREQUIPA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.7,
BANBIF,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.4,
BANCO PICHINCHA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.25,
BANCO GNB,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.25,
MIBANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.15,
INTERBANK,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
SCOTIABANK PERU,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
BANCO DE CREDITO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 5 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.2,
FINANCIERA EFECTIVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,5.25
BANCO RIPLEY,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,4.25
BANCO PICHINCHA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,4
BANCO FALABELLA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,4
CRAC LOS ANDES,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,4
CRAC CENCOSUD SCOTIA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,4
FINANCIERA CONFIANZA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3.5
BBVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3.5
CMCP LIMA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3.4
COMPARTAMOS BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3.3
CRAC INCASUR,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3.1
CMAC PIURA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3
CMAC ICA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,3
CMAC HUANCAYO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,2.85
BN. SANTANDER CONS.,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,2.8
BANCOM,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,2.75
CMAC TACNA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,2.7
CMAC CUSCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,2.6
ALFIN BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,2.5
FINANC. PROEMPRESA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,1.8
CMAC AREQUIPA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,1.7
BANBIF,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,1.4
BANCO GNB,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,1.25
MIBANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,1.15
INTERBANK,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,0.5
SCOTIABANK PERU,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,0.5
BANCO DE CREDITO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 10 000 A 360 DIAS,30-01-2026,,,,,,,,,,,,0.25
FINANCIERA EFECTIVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,5.25,
BANCO RIPLEY,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,4.25,
BANCO FALABELLA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
CRAC LOS ANDES,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
CRAC CENCOSUD SCOTIA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
FINANCIERA CONFIANZA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
BBVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
CMCP LIMA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3.4,
COMPARTAMOS BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3.3,
CMAC TRUJILLO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3.2,
CRAC INCASUR,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3.1,
CMAC PIURA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3,
CMAC ICA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,3,
CMAC HUANCAYO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,2.85,
BN. SANTANDER CONS.,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,2.8,
BANCOM,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,2.75,
CMAC TACNA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,2.7,
CMAC CUSCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,2.6,
ALFIN BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,2.5,
CMAC AREQUIPA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,1.7,
FINANC. PROEMPRESA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,1.6,
BANBIF,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,1.4,
BANCO PICHINCHA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,1.25,
BANCO GNB,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,1.25,
MIBANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,1.15,
INTERBANK,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
SCOTIABANK PERU,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
BANCO DE CREDITO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 2 500 A 360 DIAS,30-01-2026,,,,,,,,,,,0.2,
FINANCIERA EFECTIVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,5.25,
BANCO RIPLEY,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4.25,
FINANC. PROEMPRESA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4.2,
BANCO PICHINCHA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
BANCO FALABELLA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
CRAC LOS ANDES,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
CRAC CENCOSUD SCOTIA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,4,
FINANCIERA CONFIANZA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
BBVA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
CMAC TRUJILLO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.5,
CMCP LIMA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.4,
COMPARTAMOS BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.4,
CRAC INCASUR,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.2,
CMAC ICA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3.1,
CMAC PIURA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,3,
CMAC HUANCAYO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.95,
