fecha_consulta,Moneda,Compra,Venta
2026-01-30,Dólar de N.A.,3.34,3.345
2026-01-30,Dólar Canadiense,,2.566
2026-01-30,Peso Chileno,0.003,
2026-01-30,Libra Esterlina,4.442,4.841
2026-01-30,Yen Japonés,0.022,0.022
2026-01-30,Peso Mexicano,0.192,0.198
2026-01-30,Franco Suizo,4.007,
2026-01-30,Euro,3.772,4.168
