fecha_consulta,tipo_interes,valor,unidad,frecuencia,fuente
2025-06-24,Moneda Nacional (TAMN+2),16.91,porcentaje,anual,SBS
2025-06-24,Moneda Extranjera (TAMEX),9.55,porcentaje,anual,SBS
2025-06-25,Moneda Nacional (TAMN),14.98,porcentaje,anual,SBS
2025-06-25,Moneda Nacional (TAMN+1),15.98,porcentaje,anual,SBS
2025-06-25,Moneda Nacional (TAMN+2),16.98,porcentaje,anual,SBS
2025-06-25,Moneda Extranjera (TAMEX),9.64,porcentaje,anual,SBS
2025-06-26,Moneda Nacional (TAMN),14.99,porcentaje,anual,SBS
2025-06-26,Moneda Nacional (TAMN+1),15.99,porcentaje,anual,SBS
2025-06-26,Moneda Nacional (TAMN+2),16.99,porcentaje,anual,SBS
2025-06-26,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-06-27,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-27,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-27,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-27,Moneda Extranjera (TAMEX),9.67,porcentaje,anual,SBS
2025-06-28,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-28,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-28,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-28,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-06-29,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-29,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-29,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-29,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-06-30,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-30,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-30,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-30,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
