Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,119.59,116.81,points,Mar 2026
Core Consumer Prices,116.91,116.65,points,Feb 2026
Core Inflation Rate,2.13,2.19,percent,Feb 2026
CPI Housing Utilities,102.7,102.01,points,Feb 2026
CPI Transportation,115.04,114.72,points,Feb 2026
Inflation Rate YoY,3.63,2.21,percent,Mar 2026
Inflation Rate MoM,2.38,0.69,percent,Mar 2026
Producer Prices,126.57,126.08,points,Feb 2026
