Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.48,115.6,points,Oct 2025
Core Consumer Prices,116.07,116.02,points,Oct 2025
Core Inflation Rate,2.12,2.09,percent,Oct 2025
CPI Housing Utilities,102.34,102.57,points,Oct 2025
CPI Transportation,113.55,113.38,points,Oct 2025
Inflation Rate YoY,1.35,1.36,percent,Oct 2025
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025
Producer Prices,126.58,127.38,points,Oct 2025
