fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2026-02-11,Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,-18.00,15.00,Mil,Jan 2026
2026-02-11,Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,41.00,8.00,Mil,Jan 2026
2026-02-11,Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,0.00,16.00,Mil,Jan 2026
2026-02-11,Reporte ADP De Empleo,22.00,37.00,Mil,Jan 2026
2026-02-11,Cambio de Empleo ADP (ADP) Semanal,6.50,5.00,Mil,Jan 2026
2026-02-11,Recortes de empleo Challenger,108435.00,35553.00,Personas,Jan 2026
2026-02-11,Peticiones extendidas de desempleo,1844.00,1819.00,Mil,Jan 2026
2026-02-11,Peticiones por desempleo,231.00,209.00,Mil,Jan 2026
2026-02-11,Jolts Vacantes de Empleo,6542.00,6928.00,Mil,Dec 2025
2026-02-11,Nóminas no agrícolas,50.00,56.00,Mil,Dec 2025
2026-02-11,Tasa de Desempleo,4.40,4.50,Por Ciento,Dec 2025
