fecha_consulta,Indicador,Último,Anterior,Unidad,Referencia
2025-11-25,Reporte ADP De Empleo,42.00,-29.00,Mil,Oct 2025
2025-11-25,Recortes de empleo Challenger,153074.00,54064.00,Personas,Oct 2025
2025-11-25,Peticiones extendidas de desempleo,1974.00,1946.00,Mil,Nov 2025
2025-11-25,Peticiones por desempleo,220.00,228.00,Mil,Nov 2025
2025-11-25,Jolts Vacantes de Empleo,7227.00,7208.00,Mil,Aug 2025
2025-11-25,Nóminas no agrícolas,119.00,-4.00,Mil,Sep 2025
2025-11-25,Tasa de Desempleo,4.40,4.30,Por Ciento,Sep 2025
