Related,Last,Previous,Unit,Reference
Consumer Price Index CPI,115.51,115.58,points,May 2025
Core Consumer Prices,115.42,115.2,points,Apr 2025
Core Inflation Rate,2.3,2.26,percent,Apr 2025
CPI Housing Utilities,104.03,104.22,points,May 2025
CPI Transportation,113.2,113.56,points,May 2025
Inflation Rate YoY,1.69,1.65,percent,May 2025
Inflation Rate MoM,-0.06,0.32,percent,May 2025
Producer Prices,130.73,130.48,points,Apr 2025
